Magician
Magicians are trickster-mages, and will often times pick your pockets while they mesmerise you with magik
Armor Types: Leather
Weapon Types: Sword/Dagger/Staff
Magik System: Mage
~
15,30,30,20,20,15~
1,3,3,2,1,2~
Pupil,Student,Trickster,Showman,Charlatan,Magician,Deceiver,Charmer,Mystic,Illusionist,RuneMaster,Seer,Sage,Dark Oracle,Student of Rit,Keeper of Rit,Teacher of Rit,Tower Artesian,Master Sage,Dark Prophet~
1,0~
1,1.5,1,1,1,0.5,3~
1,0,1,1,1,0,1,0,1~
1,0,0~
speedpotion 1,
healingpotion 2,
manascroll 2,
magerune1 1,
magerune2 1,
magerune3 1,
magerune4 1,
roguetools 1,
dagger 1,
leatherbody 1,
leatherarms 2,
leatherlegs 1~
