Ninja
Warriors of an order who operate in secret. They rely on stealth before delivering deadly blows.

Armor Types:Leather
Weapon Types:Dagger/Sword
Magic System: Mage
~
15,15,10,50,50,10~
2,2,1,3,3,1~
Novice,Student,Pupil,Martial Artist,Panda Master,Hunter,Trained Killer,Shadow,Assassin,Tiger Master,Deadly Artist,Clan Initiate,Night Walker,Warrior of Shadows,Phoenix Master,Master Spy,Black Curse,Dark Samurai,Instructor,Dragon Master~
1,32~
1,1,1.3,1.25,1.5,0.5,6~
1,0,1,1,1,0,0,0,0~
1,0,0~
healingpotion 2,
speedpotion 2,
roguetools 1,
shortsword 1,
dagger 3,
leatherbody 1,
leatherarms 2,
leatherlegs 1~
