Mage
Mages wield powerful magiks but are physically weak.  Mages rely solely on magik to make them formidable characters. 

Armor Types: Leather
Weapon Types: Staff/Dagger
Magik System: Mage
~
10,25,35,25,20,15~
1,2,3,3,2,1~
Student,Apprentice,Spellcaster,Mage,Conjurer,Enchanter,Wizard,Lore Master,Dark Spirit,Black Art Scribe,Black Art Master,Magi of the Fire,Magi of the Star,Sorcerer,Order of Nu'ak,Order of Tul,Order of Ahnul,Order of Baal,Prophet of Baal,Ancient One~
1,0~
1,3,1,1,1,0,3~
armorscroll 3,
manascroll 3,
speedpotion 3,
magerune1 1,
magerune2 1,
magerune3 1,
magerune4 1,
magerune5 1,
magerune6 1,
leatherbody 1,
leatherarms 2,
leatherlegs 1~
